Country,YearsCode,EdLevel,Employment,DevType,OrgSize,RemoteWork,WorkExp,Industry,Age,ICorPM,ToolCountWork,log_salary,LanguageCount,DatabaseCount,PlatformCount,yearsCode_sq,WorkExp_sq,Exp_ratio,Tech_breadth
other,14.0,5.0,1,Other,3.0,2.0,8.0,Software Development,1.0,0.0,10.0,10.687640206386288,3.0,,,196.0,64.0,0.5333333333333333,0.0
other,23.0,6.0,1,Data/ML,2.0,1.0,20.0,Software Development,3.0,0.0,,11.301796943234223,5.0,2.0,2.0,529.0,400.0,0.8333333333333334,9.0
other,9.0,4.0,1,Back-end,3.0,1.0,5.0,Manufacturing,1.0,0.0,2.0,10.249768667290844,5.0,2.0,10.0,81.0,25.0,0.5,17.0
United Kingdom of Great Britain and Northern Ireland,21.0,4.0,1,Management,2.0,2.0,15.0,Fintech,2.0,1.0,10.0,11.870250197750458,6.0,4.0,10.0,441.0,225.0,0.6818181818181818,20.0
Switzerland,12.0,5.0,1,Other,5.0,1.0,6.0,Higher Education,1.0,0.0,5.0,11.676692615116377,8.0,3.0,10.0,144.0,36.0,0.46153846153846156,21.0
Germany,19.0,5.0,1,Other,1.0,1.0,10.0,Software Development,2.0,0.0,10.0,11.230708431949505,2.0,2.0,1.0,361.0,100.0,0.5,5.0
Netherlands,18.0,4.0,1,Other,3.0,1.0,15.0,Software Development,2.0,0.0,10.0,11.304805984955106,6.0,,,324.0,225.0,0.7894736842105263,0.0
other,25.0,4.0,1,Software,3.0,1.0,20.0,Software Development,2.0,1.0,10.0,11.065231122644327,12.0,7.0,11.0,625.0,400.0,0.7692307692307693,30.0
United States of America,8.0,2.0,1,Full-stack,2.0,2.0,8.0,Software Development,2.0,0.0,4.0,11.92504173829169,5.0,2.0,4.0,64.0,64.0,0.8888888888888888,11.0
Netherlands,13.0,4.0,1,Full-stack,3.0,,13.0,Software Development,1.0,0.0,5.0,11.332985070956667,5.0,6.0,8.0,169.0,169.0,0.9285714285714286,19.0
other,10.0,5.0,1,Desktop,6.0,1.0,3.0,Software Development,0.0,0.0,10.0,10.745205588904774,8.0,,4.0,100.0,9.0,0.2727272727272727,0.0
Poland,12.0,2.0,1,Other,7.0,,4.0,Software Development,0.0,0.0,5.0,11.047200668449333,7.0,,3.0,144.0,16.0,0.3076923076923077,0.0
United Kingdom of Great Britain and Northern Ireland,25.0,4.0,1,Full-stack,2.0,2.0,20.0,Software Development,3.0,0.0,6.0,11.925816267572197,5.0,1.0,1.0,625.0,400.0,0.7692307692307693,7.0
Spain,20.0,4.0,1,Back-end,5.0,2.0,17.0,Software Development,2.0,0.0,3.0,11.116766916182364,3.0,6.0,4.0,400.0,289.0,0.8095238095238095,13.0
other,30.0,4.0,1,Other,,,30.0,Software Development,3.0,,3.0,12.192105558301558,8.0,7.0,7.0,900.0,900.0,0.967741935483871,22.0
United States of America,41.0,4.0,1,Full-stack,5.0,2.0,26.0,Software Development,3.0,0.0,20.0,12.409017571151187,5.0,3.0,4.0,1681.0,676.0,0.6190476190476191,12.0
Sweden,12.0,4.0,1,Back-end,5.0,1.0,9.0,"Internet, Telecomm or Information Services",1.0,0.0,6.0,11.231530255383264,2.0,6.0,15.0,144.0,81.0,0.6923076923076923,23.0
France,20.0,4.0,1,Other,0.0,1.0,31.0,Computer Systems Design and Services,3.0,0.0,15.0,12.066942753369188,6.0,3.0,5.0,400.0,961.0,1.4761904761904763,14.0
Switzerland,25.0,6.0,1,Other,2.0,,22.0,Government,3.0,0.0,3.0,12.25861291212462,4.0,1.0,,625.0,484.0,0.8461538461538461,0.0
United States of America,16.0,4.0,1,Back-end,3.0,1.0,10.0,Software Development,1.0,0.0,,11.918397239722838,3.0,,,256.0,100.0,0.5882352941176471,0.0
United Kingdom of Great Britain and Northern Ireland,45.0,5.0,1,Management,1.0,1.0,36.0,Fintech,4.0,1.0,10.0,11.6589374006013,4.0,3.0,4.0,2025.0,1296.0,0.782608695652174,11.0
other,8.0,5.0,1,Full-stack,,,8.0,Other:,1.0,,8.0,9.936825612146638,4.0,1.0,1.0,64.0,64.0,0.8888888888888888,6.0
Canada,17.0,5.0,1,Full-stack,3.0,,15.0,Software Development,2.0,0.0,2.0,11.197652918513931,2.0,,4.0,289.0,225.0,0.8333333333333334,0.0
other,12.0,5.0,1,Mobile,2.0,2.0,10.0,Other:,2.0,0.0,4.0,9.519000850813155,1.0,1.0,,144.0,100.0,0.7692307692307693,0.0
United States of America,25.0,4.0,1,Desktop,2.0,,12.0,Software Development,2.0,0.0,8.0,11.661354090741,2.0,,,625.0,144.0,0.46153846153846156,0.0
other,15.0,5.0,1,Full-stack,2.0,1.0,9.0,Computer Systems Design and Services,1.0,0.0,5.0,11.373801319159593,9.0,3.0,11.0,225.0,81.0,0.5625,23.0
United States of America,22.0,4.0,1,Full-stack,4.0,,15.0,Software Development,2.0,0.0,1.0,11.407576060361786,6.0,1.0,2.0,484.0,225.0,0.6521739130434783,9.0
Brazil,15.0,5.0,1,Software,1.0,1.0,15.0,Fintech,1.0,0.0,7.0,10.502543809696478,11.0,5.0,11.0,225.0,225.0,0.9375,27.0
Italy,20.0,5.0,1,Other,6.0,2.0,15.0,Software Development,2.0,0.0,3.0,11.843803511820838,4.0,,2.0,400.0,225.0,0.7142857142857143,0.0
Spain,8.0,4.0,1,Embedded/Hardware,3.0,,2.0,"Transportation, or Supply Chain",0.0,0.0,15.0,10.147374464988237,5.0,,3.0,64.0,4.0,0.2222222222222222,0.0
other,8.0,4.0,1,Back-end,1.0,1.0,6.0,Software Development,1.0,0.0,4.0,9.521494800613105,3.0,3.0,,64.0,36.0,0.6666666666666666,0.0
United Kingdom of Great Britain and Northern Ireland,10.0,4.0,1,Embedded/Hardware,6.0,1.0,6.0,Software Development,2.0,0.0,10.0,11.310637907535396,4.0,,,100.0,36.0,0.5454545454545454,0.0
other,30.0,4.0,1,Back-end,,,25.0,Media & Advertising Services,3.0,,8.0,10.968336211051428,6.0,8.0,7.0,900.0,625.0,0.8064516129032258,21.0
other,42.0,6.0,1,Other,5.0,2.0,33.0,Manufacturing,3.0,0.0,5.0,12.026120279984914,5.0,2.0,3.0,1764.0,1089.0,0.7674418604651163,10.0
United States of America,40.0,2.0,1,DevOps/Cloud,3.0,2.0,26.0,Other:,3.0,0.0,10.0,12.180759965737863,8.0,8.0,9.0,1600.0,676.0,0.6341463414634146,25.0
Germany,41.0,1.0,1,Full-stack,1.0,,26.0,Other:,3.0,1.0,8.0,11.884620047301203,7.0,7.0,8.0,1681.0,676.0,0.6190476190476191,22.0
United States of America,27.0,5.0,1,Back-end,2.0,1.0,25.0,Software Development,3.0,0.0,7.0,11.951186847493476,2.0,1.0,1.0,729.0,625.0,0.8928571428571429,4.0
Canada,20.0,4.0,1,Full-stack,1.0,2.0,15.0,Healthcare,2.0,0.0,5.0,11.292964344347318,8.0,1.0,6.0,400.0,225.0,0.7142857142857143,15.0
Italy,22.0,1.0,1,Back-end,3.0,2.0,17.0,Software Development,2.0,0.0,5.0,11.332985070956667,6.0,,6.0,484.0,289.0,0.7391304347826086,0.0
Canada,15.0,4.0,1,Full-stack,2.0,2.0,10.0,Software Development,1.0,0.0,4.0,11.603122595387731,7.0,5.0,6.0,225.0,100.0,0.625,18.0
other,24.0,4.0,1,Back-end,3.0,1.0,21.0,Government,3.0,0.0,10.0,11.380102392856065,3.0,2.0,4.0,576.0,441.0,0.84,9.0
United States of America,30.0,4.0,1,Front-end,1.0,2.0,30.0,Higher Education,4.0,0.0,4.0,11.225256725762893,4.0,,,900.0,900.0,0.967741935483871,0.0
United Kingdom of Great Britain and Northern Ireland,30.0,5.0,1,Full-stack,,,28.0,Other:,4.0,,20.0,11.390678731822566,5.0,3.0,3.0,900.0,784.0,0.9032258064516129,11.0
United States of America,10.0,4.0,1,Desktop,2.0,1.0,6.0,Healthcare,1.0,0.0,10.0,11.782960235741939,10.0,2.0,5.0,100.0,36.0,0.5454545454545454,17.0
United States of America,16.0,4.0,1,Full-stack,1.0,1.0,10.0,Banking/Financial Services,1.0,0.0,2.0,11.695255355062795,7.0,4.0,8.0,256.0,100.0,0.5882352941176471,19.0
Netherlands,15.0,4.0,1,Management,2.0,2.0,20.0,"Internet, Telecomm or Information Services",2.0,1.0,10.0,9.65162297294974,,,,225.0,400.0,1.25,0.0
Germany,15.0,5.0,1,Other,6.0,1.0,10.0,Other:,1.0,0.0,7.0,11.304805984955106,5.0,,8.0,225.0,100.0,0.625,0.0
Spain,10.0,5.0,1,Other,5.0,1.0,4.0,Software Development,1.0,0.0,,10.639837890396722,6.0,4.0,3.0,100.0,16.0,0.36363636363636365,13.0
Canada,25.0,4.0,1,Other,4.0,1.0,25.0,Higher Education,3.0,0.0,5.0,11.177452728682098,11.0,8.0,,625.0,625.0,0.9615384615384616,0.0
United States of America,45.0,5.0,1,Full-stack,0.0,,45.0,Banking/Financial Services,5.0,0.0,,10.714439990727769,6.0,2.0,,2025.0,2025.0,0.9782608695652174,0.0
Canada,27.0,4.0,1,Full-stack,5.0,2.0,22.0,Manufacturing,3.0,0.0,10.0,11.092306109090387,10.0,8.0,12.0,729.0,484.0,0.7857142857142857,30.0
Canada,16.0,1.0,1,Full-stack,3.0,2.0,16.0,"Internet, Telecomm or Information Services",2.0,1.0,12.0,11.635903870180593,7.0,4.0,10.0,256.0,256.0,0.9411764705882353,21.0
Switzerland,13.0,4.0,1,Full-stack,1.0,1.0,8.0,Software Development,1.0,0.0,5.0,11.453557553162875,5.0,1.0,14.0,169.0,64.0,0.5714285714285714,20.0
Spain,7.0,2.0,1,Front-end,1.0,2.0,7.0,Software Development,1.0,0.0,,12.996475838805807,5.0,,,49.0,49.0,0.875,0.0
United States of America,24.0,4.0,1,DevOps/Cloud,7.0,2.0,20.0,Software Development,2.0,0.0,4.0,12.59473402514672,5.0,3.0,5.0,576.0,400.0,0.8,13.0
Netherlands,18.0,4.0,1,Back-end,2.0,1.0,13.0,Healthcare,2.0,1.0,6.0,11.641274703397892,5.0,6.0,5.0,324.0,169.0,0.6842105263157895,16.0
United States of America,9.0,4.0,1,Full-stack,3.0,,3.0,Government,0.0,0.0,6.0,11.289794413577894,10.0,2.0,5.0,81.0,9.0,0.3,17.0
United States of America,28.0,4.0,1,Back-end,5.0,2.0,25.0,Other:,3.0,0.0,9.0,12.765691290604371,5.0,6.0,11.0,784.0,625.0,0.8620689655172413,22.0
Italy,6.0,2.0,1,Mobile,3.0,2.0,3.0,Higher Education,0.0,0.0,,10.582687926963448,4.0,2.0,,36.0,9.0,0.42857142857142855,0.0
India,10.0,4.0,1,Full-stack,7.0,1.0,4.0,"Transportation, or Supply Chain",1.0,1.0,5.0,9.908972482766698,3.0,3.0,1.0,100.0,16.0,0.36363636363636365,7.0
other,10.0,3.0,1,Full-stack,1.0,,10.0,Software Development,0.0,0.0,3.0,10.677661571738447,11.0,4.0,10.0,100.0,100.0,0.9090909090909091,25.0
United States of America,3.0,2.0,1,Full-stack,4.0,1.0,2.0,Healthcare,1.0,0.0,,11.373674891823535,5.0,,,9.0,4.0,0.5,0.0
other,8.0,5.0,1,Data/ML,6.0,,1.0,Computer Systems Design and Services,1.0,0.0,,11.097682711097967,6.0,4.0,7.0,64.0,1.0,0.1111111111111111,17.0
Germany,9.0,5.0,1,Back-end,,,20.0,,3.0,,7.0,11.230708431949505,5.0,2.0,7.0,81.0,400.0,2.0,14.0
France,8.0,5.0,1,Embedded/Hardware,5.0,,3.0,"Internet, Telecomm or Information Services",0.0,0.0,5.0,10.234408696023769,4.0,,,64.0,9.0,0.3333333333333333,0.0
United States of America,15.0,2.0,1,DevOps/Cloud,2.0,2.0,20.0,Software Development,2.0,1.0,3.0,12.128116509451258,3.0,6.0,10.0,225.0,400.0,1.25,19.0
Germany,10.0,6.0,1,Desktop,7.0,1.0,8.0,Manufacturing,2.0,0.0,20.0,11.332985070956667,6.0,3.0,,100.0,64.0,0.7272727272727273,0.0
Switzerland,9.0,2.0,1,Full-stack,5.0,,7.0,Government,1.0,0.0,5.0,11.65253087335545,4.0,2.0,8.0,81.0,49.0,0.7,14.0
Poland,15.0,5.0,1,Back-end,,,5.0,,1.0,,,11.782899165641078,7.0,,,225.0,25.0,0.3125,0.0
United States of America,45.0,4.0,1,Full-stack,3.0,1.0,36.0,Manufacturing,4.0,0.0,6.0,11.918397239722838,5.0,3.0,,2025.0,1296.0,0.782608695652174,0.0
United States of America,15.0,5.0,1,Full-stack,3.0,2.0,15.0,Software Development,2.0,0.0,20.0,12.206077645517674,6.0,3.0,9.0,225.0,225.0,0.9375,18.0
France,40.0,5.0,1,Back-end,4.0,2.0,30.0,Software Development,3.0,0.0,5.0,11.150663514162712,5.0,4.0,7.0,1600.0,900.0,0.7317073170731707,16.0
Italy,12.0,2.0,1,Back-end,2.0,1.0,2.0,Software Development,1.0,0.0,,10.35217177976427,6.0,3.0,7.0,144.0,4.0,0.15384615384615385,16.0
Brazil,37.0,5.0,1,Management,7.0,1.0,32.0,Energy,3.0,0.0,,11.418823554913928,7.0,4.0,8.0,1369.0,1024.0,0.8421052631578947,19.0
Germany,17.0,5.0,1,Full-stack,2.0,2.0,6.0,Software Development,1.0,0.0,5.0,11.230708431949505,7.0,2.0,8.0,289.0,36.0,0.3333333333333333,17.0
other,10.0,2.0,1,Software,,,10.0,Computer Systems Design and Services,1.0,,12.0,11.428456308343778,6.0,5.0,12.0,100.0,100.0,0.9090909090909091,23.0
other,20.0,4.0,1,Management,3.0,2.0,16.0,Software Development,2.0,1.0,8.0,11.957617696467539,6.0,6.0,9.0,400.0,256.0,0.7619047619047619,21.0
other,8.0,5.0,1,Full-stack,2.0,1.0,8.0,Software Development,1.0,0.0,2.0,9.90268723236536,7.0,9.0,4.0,64.0,64.0,0.8888888888888888,20.0
United States of America,20.0,4.0,1,Full-stack,3.0,2.0,15.0,Software Development,2.0,0.0,6.0,12.013706813470414,4.0,2.0,10.0,400.0,225.0,0.7142857142857143,16.0
Germany,35.0,6.0,1,Other,3.0,,23.0,Higher Education,3.0,,10.0,11.230708431949505,4.0,3.0,5.0,1225.0,529.0,0.6388888888888888,12.0
Germany,20.0,4.0,1,Management,2.0,1.0,15.0,Banking/Financial Services,3.0,1.0,12.0,11.556119045056985,6.0,6.0,,400.0,225.0,0.7142857142857143,0.0
other,32.0,2.0,1,Full-stack,2.0,2.0,10.0,Software Development,2.0,0.0,14.0,10.693920233396923,16.0,5.0,9.0,1024.0,100.0,0.30303030303030304,30.0
United Kingdom of Great Britain and Northern Ireland,14.0,2.0,1,Back-end,2.0,2.0,11.0,Software Development,2.0,0.0,13.0,11.699288842590514,3.0,5.0,8.0,196.0,121.0,0.7333333333333333,16.0
United Kingdom of Great Britain and Northern Ireland,1.0,6.0,1,Other,6.0,1.0,12.0,Healthcare,1.0,0.0,4.0,11.128321247529394,2.0,1.0,,1.0,144.0,6.0,0.0
United States of America,1.0,4.0,1,Other,3.0,2.0,31.0,Software Development,3.0,0.0,10.0,11.225256725762893,,,,1.0,961.0,15.5,0.0
other,11.0,4.0,1,Full-stack,2.0,2.0,6.0,Other:,1.0,0.0,2.0,11.501288011726107,5.0,2.0,10.0,121.0,36.0,0.5,17.0
Italy,39.0,1.0,1,Full-stack,3.0,1.0,39.0,Software Development,4.0,0.0,12.0,10.745205588904774,3.0,2.0,,1521.0,1521.0,0.975,0.0
Germany,16.0,5.0,1,Embedded/Hardware,7.0,1.0,11.0,Software Development,2.0,0.0,5.0,11.661483391611373,8.0,,,256.0,121.0,0.6470588235294118,0.0
other,15.0,4.0,1,Management,5.0,2.0,21.0,Software Development,2.0,1.0,1.0,11.908340237224891,4.0,4.0,,225.0,441.0,1.3125,0.0
other,9.0,5.0,1,Full-stack,7.0,,3.0,Software Development,1.0,0.0,,9.764397884134175,7.0,4.0,10.0,81.0,9.0,0.3,21.0
Canada,15.0,4.0,1,Back-end,5.0,1.0,3.0,Healthcare,0.0,0.0,5.0,11.197652918513931,6.0,2.0,5.0,225.0,9.0,0.1875,13.0
Sweden,26.0,0.0,1,Full-stack,1.0,,26.0,Software Development,3.0,1.0,5.0,9.352794339771116,7.0,2.0,5.0,676.0,676.0,0.9629629629629629,14.0
Canada,40.0,4.0,1,Management,6.0,2.0,30.0,Software Development,3.0,1.0,10.0,11.46002034597524,3.0,,5.0,1600.0,900.0,0.7317073170731707,0.0
United Kingdom of Great Britain and Northern Ireland,28.0,4.0,1,Full-stack,1.0,,25.0,Software Development,2.0,1.0,6.0,10.799820445069336,4.0,2.0,3.0,784.0,625.0,0.8620689655172413,9.0
Germany,36.0,5.0,1,Full-stack,1.0,,12.0,Software Development,2.0,,0.0,10.968336211051428,1.0,1.0,,1296.0,144.0,0.32432432432432434,0.0
Canada,20.0,6.0,1,Full-stack,1.0,1.0,20.0,Software Development,3.0,0.0,3.0,11.534129071221251,1.0,2.0,,400.0,400.0,0.9523809523809523,0.0
United Kingdom of Great Britain and Northern Ireland,23.0,5.0,1,Management,7.0,,18.0,Retail and Consumer Services,2.0,1.0,1.0,11.223628756361444,3.0,5.0,1.0,529.0,324.0,0.75,9.0
France,25.0,5.0,1,Software,7.0,,25.0,Manufacturing,3.0,0.0,,11.373801319159593,5.0,7.0,8.0,625.0,625.0,0.9615384615384616,20.0
United Kingdom of Great Britain and Northern Ireland,33.0,4.0,1,Back-end,3.0,2.0,20.0,Fintech,2.0,0.0,,11.770161216452207,8.0,6.0,15.0,1089.0,400.0,0.5882352941176471,29.0
other,19.0,2.0,1,Back-end,,,17.0,Software Development,2.0,,,11.58989576532275,8.0,5.0,12.0,361.0,289.0,0.85,25.0
other,30.0,5.0,1,Full-stack,2.0,1.0,20.0,Software Development,2.0,1.0,15.0,11.063649525214753,6.0,2.0,10.0,900.0,400.0,0.6451612903225806,18.0
United States of America,33.0,4.0,1,Full-stack,4.0,2.0,25.0,Government,3.0,0.0,6.0,12.154784614286667,5.0,3.0,9.0,1089.0,625.0,0.7352941176470589,17.0
Spain,10.0,5.0,1,DevOps/Cloud,1.0,,4.0,Software Development,1.0,0.0,4.0,10.457516333602767,5.0,6.0,7.0,100.0,16.0,0.36363636363636365,18.0
United States of America,25.0,2.0,1,Back-end,1.0,2.0,25.0,Fintech,2.0,0.0,10.0,11.951186847493476,8.0,6.0,19.0,625.0,625.0,0.9615384615384616,33.0
other,5.0,1.0,1,Other,3.0,1.0,1.0,Higher Education,0.0,0.0,,10.570855280108585,7.0,4.0,8.0,25.0,1.0,0.16666666666666666,19.0
Brazil,7.0,4.0,1,Front-end,2.0,2.0,4.0,Software Development,0.0,0.0,3.0,10.639837890396722,3.0,,7.0,49.0,16.0,0.5,0.0
Germany,16.0,4.0,1,Full-stack,3.0,2.0,12.0,Retail and Consumer Services,1.0,0.0,3.0,11.661483391611373,6.0,7.0,13.0,256.0,144.0,0.7058823529411765,26.0
United Kingdom of Great Britain and Northern Ireland,30.0,5.0,1,Management,1.0,,24.0,Manufacturing,3.0,,,11.821453737653547,5.0,1.0,,900.0,576.0,0.7741935483870968,0.0
Ukraine,12.0,4.0,1,Embedded/Hardware,7.0,,4.0,Software Development,0.0,0.0,5.0,10.019357648578541,8.0,1.0,5.0,144.0,16.0,0.3076923076923077,14.0
United States of America,9.0,4.0,1,Full-stack,2.0,,2.0,Healthcare,0.0,0.0,15.0,11.156264806643742,16.0,2.0,9.0,81.0,4.0,0.2,27.0
United States of America,25.0,5.0,1,Embedded/Hardware,7.0,1.0,17.0,Software Development,2.0,0.0,6.0,11.849404844423074,2.0,,5.0,625.0,289.0,0.6538461538461539,0.0
other,18.0,6.0,1,Full-stack,6.0,2.0,8.0,Software Development,1.0,0.0,7.0,11.264476926102367,5.0,3.0,4.0,324.0,64.0,0.42105263157894735,12.0
Germany,13.0,4.0,1,DevOps/Cloud,6.0,1.0,5.0,Insurance,0.0,0.0,7.0,11.063649525214753,5.0,4.0,5.0,169.0,25.0,0.35714285714285715,14.0
Switzerland,33.0,2.0,1,Back-end,3.0,2.0,21.0,Software Development,2.0,1.0,3.0,12.25861291212462,10.0,1.0,10.0,1089.0,441.0,0.6176470588235294,21.0
Canada,22.0,4.0,1,Back-end,3.0,2.0,13.0,"Transportation, or Supply Chain",2.0,0.0,10.0,12.422195610096688,3.0,7.0,10.0,484.0,169.0,0.5652173913043478,20.0
other,11.0,4.0,1,Full-stack,2.0,1.0,1.0,Software Development,1.0,0.0,8.0,9.828925631209223,4.0,,,121.0,1.0,0.08333333333333333,0.0
other,8.0,2.0,1,Front-end,7.0,2.0,6.0,Banking/Financial Services,1.0,0.0,12.0,10.594732925806477,5.0,2.0,7.0,64.0,36.0,0.6666666666666666,14.0
Netherlands,30.0,2.0,1,Back-end,0.0,1.0,21.0,Software Development,3.0,0.0,20.0,12.303330926552514,8.0,6.0,7.0,900.0,441.0,0.6774193548387096,21.0
United States of America,22.0,4.0,1,Back-end,3.0,2.0,14.0,Media & Advertising Services,2.0,1.0,20.0,12.206077645517674,5.0,4.0,7.0,484.0,196.0,0.6086956521739131,16.0
other,32.0,4.0,1,Embedded/Hardware,1.0,2.0,15.0,"Internet, Telecomm or Information Services",2.0,0.0,2.0,12.21808520496317,7.0,,,1024.0,225.0,0.45454545454545453,0.0
other,20.0,5.0,1,Other,3.0,1.0,20.0,Software Development,2.0,1.0,5.0,11.498958377741612,7.0,7.0,7.0,400.0,400.0,0.9523809523809523,21.0
Germany,30.0,4.0,1,Full-stack,2.0,2.0,25.0,"Internet, Telecomm or Information Services",3.0,0.0,5.0,11.150663514162712,9.0,3.0,9.0,900.0,625.0,0.8064516129032258,21.0
United States of America,20.0,4.0,1,Back-end,5.0,2.0,15.0,Software Development,2.0,0.0,10.0,12.013706813470414,,3.0,6.0,400.0,225.0,0.7142857142857143,0.0
United States of America,10.0,5.0,1,Software,7.0,1.0,15.0,Energy,2.0,1.0,4.0,12.468440756144114,3.0,3.0,8.0,100.0,225.0,1.3636363636363635,14.0
United Kingdom of Great Britain and Northern Ireland,16.0,4.0,1,Full-stack,5.0,2.0,13.0,Software Development,1.0,0.0,12.0,11.489482820843678,7.0,1.0,4.0,256.0,169.0,0.7647058823529411,12.0
other,16.0,4.0,1,Back-end,3.0,2.0,13.0,Software Development,2.0,0.0,3.0,11.849404844423074,6.0,5.0,9.0,256.0,169.0,0.7647058823529411,20.0
Canada,18.0,5.0,1,Management,7.0,,27.0,Government,3.0,1.0,2.0,11.497761064450456,4.0,3.0,3.0,324.0,729.0,1.4210526315789473,10.0
United States of America,10.0,4.0,1,Software,7.0,2.0,9.0,Software Development,2.0,0.0,5.0,11.813037464800539,3.0,,,100.0,81.0,0.8181818181818182,0.0
Switzerland,10.0,4.0,1,Data/ML,0.0,2.0,9.0,Software Development,1.0,0.0,10.0,11.034841275759762,5.0,1.0,6.0,100.0,81.0,0.8181818181818182,12.0
United States of America,10.0,4.0,1,Full-stack,,,6.0,,2.0,,6.0,11.608244735642321,7.0,1.0,2.0,100.0,36.0,0.5454545454545454,10.0
other,25.0,6.0,1,Other,6.0,,25.0,Higher Education,2.0,0.0,,10.982390209583826,9.0,,10.0,625.0,625.0,0.9615384615384616,0.0
